attack,metric,category,preset,ssim,psnr,mse,l_inf,mae,abs_gain,param_name,param_val
grad-est,spaq,1,1-2,0.9402308833773172,40.26914923859202,9.862082549687496e-05,0.01568627450980392,0.008517684797182937,0.14600702115153913,eps,0.01568625387958473
grad-est,spaq,2,3-4,0.8378038210749172,34.64915683681011,0.0003573365907918783,0.03137254901960784,0.01606420851567448,0.3937628323676762,eps,0.03137253394199675
grad-est,spaq,3,5-6,0.7278649054629863,30.930415996399645,0.0008170241110790116,0.06274509803921569,0.02300792420577642,0.6294202268316866,eps,0.06274507912772695
zhang-et-al-dists,spaq,0,3-4,0.9904762619111046,47.58868430563792,2.1688087826732452e-05,0.00784313725490196,0.00379761608522001,0.6336778880136149,lr,0.0007731463514841566
zhang-et-al-dists,spaq,1,4-5,0.9725321559620462,42.76983600136933,6.589482797289125e-05,0.01568627450980392,0.006443392136074399,0.9148263827267917,lr,0.0015484359251087244
zhang-et-al-dists,spaq,2,5-6,0.9230446254230432,37.85344789513572,0.00020432615576544504,0.03137254901960784,0.011106817187417142,1.2838736638119808,lr,0.0031041309181323133
zhang-et-al-dists,spaq,3,6-7,0.8066363802717162,32.669799157146755,0.0006672709811570034,0.06274509803921569,0.01984857549508392,1.7211081996803537,lr,0.006229202119511525
square-attack,spaq,0,-2-0,0.991530556422046,47.95801431706998,1.9320520841056642e-05,0.00784313725490196,0.002270274734750559,0.09735793583197726,eps,0.007843123413085283
square-attack,spaq,1,1-2,0.9765041831021728,41.90808394208047,6.784879144075877e-05,0.01568627450980392,0.0042579686059603635,0.1473511063987351,eps,0.015686254173282427
square-attack,spaq,2,3-4,0.9476531358545762,36.54344069163887,0.00023639905723267328,0.03137254901960784,0.0074484259275725585,0.20415171846875915,eps,0.03137253412354922
square-attack,spaq,3,5-6,0.9064301376563901,31.307500356493613,0.0008073626721869572,0.06274509803921569,0.012807249570424773,0.2646484775277677,eps,0.06274507928498864
ifgsm,niqe,0,1-2,0.9944734615151527,50.06974992545416,1.1189988646084811e-05,0.00784313725490196,0.002475779313496334,-0.012887288042741134,alpha,0.0007843126884483477
ifgsm,niqe,1,2-3,0.984113086495586,45.383028258375134,3.2376701158583264e-05,0.01568627450980392,0.004167568472231772,0.01079129694015699,alpha,0.001568626072197761
ifgsm,niqe,2,4-5,0.9477449909699569,39.94095114759269,0.00010881268946223167,0.03137254901960784,0.0075969826170401294,0.01130421082727974,alpha,0.00326284464336808
madc,niqe,0,5-6,0.9974810879205085,54.44974655242977,3.9482578312516094e-06,0.00784313725490196,0.001211938674144073,-0.018974779384226714,lr,0.00099785251564713
madc,niqe,1,6-7,0.9856458334750853,47.24048085935608,2.3905431898713397e-05,0.01568627450980392,0.0032747136046111626,-0.003950394612363656,lr,0.0019957067338668526
madc,niqe,2,7-8,0.9337065530943268,40.068117182231255,0.00013651009012458255,0.03137254901960784,0.008120454375000457,0.013368433151259025,lr,0.003991408167793504
madc,niqe,3,8-9,0.8027199439189543,33.48472997478927,0.0006156556800326686,0.06274509803921569,0.017450860449462997,0.03820229431932462,lr,0.007982828866156493
cnn-attack,niqe,0,-2--1,0.9526454859958651,44.89266646772712,9.977781304616974e-05,0.00784313725490196,0.00738959142763275,0.9633032204792115,Amplitude,0.019999906300176156
cnn-attack,niqe,1,-2--1,0.8756631454411944,37.97277941172712,0.0002700486661196677,0.01568627450980392,0.014675208770172147,2.7405625092706627,Amplitude,0.03999986870024685
cnn-attack,niqe,2,-1-2,0.7665510149226444,32.60600360722324,0.0016252310992148006,0.03137254901960784,0.02838749389900512,5.08613084582039,Amplitude,0.07999985063755011
cnn-attack,niqe,3,-1-2,0.5782290527150966,27.5212305857382,0.0050120366543336126,0.06274509803921569,0.05523941965882065,8.971284561400921,Amplitude,0.15999985260436023
diff-evolve-uap,niqe,1,0-1,0.9396459747513332,40.12032517466219,0.00011403523341659661,0.01568627450980392,0.008837326014465578,0.01223873171387869,Amplitude,0.1568623090673373
diff-evolve-uap,niqe,2,2-3,0.8202742198161677,33.88566888334677,0.00042600285969152964,0.03137254901960784,0.01745492190442162,0.037856827605176974,Amplitude,0.31372510932059344
diff-evolve-uap,niqe,3,5-6,0.5994414319909904,27.923432705515477,0.0016265031284452389,0.06274509803921569,0.034183518821780806,0.08847980109020019,Amplitude,0.6274506436205435
korhonen-et-al,niqe,0,3-4,0.997907584497442,53.8602618009639,5.4767387409362754e-06,0.00784313725490196,0.001492533128142282,-0.024662517680868044,lr,0.0008133208935721787
korhonen-et-al,niqe,1,4-5,0.9933494863005892,48.99338587653042,1.729544900999263e-05,0.01568627450980392,0.002624116460179813,-0.017833180458164108,lr,0.0016657027646607312
korhonen-et-al,niqe,2,5-6,0.9767590979115209,43.60388490536715,6.170809858466059e-05,0.03137254901960784,0.004959433415354938,-0.010354203433999142,lr,0.0034435710181091117
korhonen-et-al,niqe,3,6-7,0.9227692162833067,37.71653131367521,0.0002423808916099589,0.06274509803921569,0.009878186677683825,-0.003998165536129365,lr,0.007135041737726017
uap,niqe,0,-1-1,0.9838257072160969,48.46238375949949,3.044893732088141e-05,0.00784313725490196,0.0031280238602159954,-0.0010986275944168695,Amplitude,0.07843085386819768
uap,niqe,1,-1-1,0.9532953092768677,41.99682432025132,9.147666905106496e-05,0.01568627450980392,0.0062162335741101065,0.01007117997418162,Amplitude,0.15686231281662133
uap,niqe,2,2-3,0.8734310311844129,35.08736130399981,0.00032291250452258936,0.03137254901960784,0.012297780678278719,0.04839554006919288,Amplitude,0.31372510932059344
uap,niqe,3,5-6,0.7303497811828628,29.120160886581793,0.0012339390978923742,0.06274509803921569,0.024097345635821842,0.11207381428014851,Amplitude,0.6274506436205433
ssah,niqe,0,4-5,0.9963125917576157,51.811478794267636,6.9713157024711494e-06,0.00784313725490196,0.0019100887923809875,-0.019783236052175475,lr,0.0007788047291871086
ssah,niqe,1,5-6,0.9902616083132928,48.07769545065682,1.7526014740628495e-05,0.01568627450980392,0.0028988777696398226,-0.019929922915744344,lr,0.0015857344796646887
ssah,niqe,2,6-7,0.9718235883223835,43.44208952347688,4.982958175987092e-05,0.03137254901960784,0.0048586742872592575,-0.020216679031438804,lr,0.003256820613587092
ssah,niqe,3,8-9,0.9170188037739464,38.39956513372425,0.00016616003065247274,0.06274509803921569,0.00866734938660307,0.01585599289686976,lr,0.006676070930249276
grad-est,niqe,0,-2-0,0.9817013940624306,46.38399104208686,2.7024102432929642e-05,0.00784313725490196,0.004332224849761734,-0.026439446933763256,eps,0.007843123246226276
grad-est,niqe,1,1-2,0.9416703345760957,40.507634601524714,9.310171775888014e-05,0.01568627450980392,0.008221996129016352,-0.03654124803711746,eps,0.01568625387958473
grad-est,niqe,2,3-4,0.8427935190335336,34.98626861931108,0.0003290972649401281,0.03137254901960784,0.015317944656283123,-0.06797660364180816,eps,0.03137253394199675
grad-est,niqe,3,5-6,0.7430909903772014,31.60052441318979,0.0006948747355354364,0.06274509803921569,0.02120508962513509,-0.08744342810717826,eps,0.06274507912772695
zhang-et-al-dists,niqe,0,3-4,0.9942958729025756,50.41982299192799,1.0902269719025645e-05,0.00784313725490196,0.0025568473827031106,-0.021801272040676386,lr,0.0007789129048242353
zhang-et-al-dists,niqe,1,4-5,0.9821748640276955,45.69435476047182,3.397997081131995e-05,0.01568627450980392,0.0044148657599363626,-0.019501130980151993,lr,0.001571651649264372
zhang-et-al-dists,niqe,2,5-6,0.9411471938276912,40.24436092192334,0.000124118692059837,0.03137254901960784,0.008345221887067867,-0.015948248748500607,lr,0.003176364796791494
zhang-et-al-dists,niqe,3,6-7,0.8307009263445948,34.27932229689303,0.000490135830931013,0.06274509803921569,0.01661365322009133,0.009535536866416533,lr,0.0064015279262159405
square-attack,niqe,0,-2-0,0.991006398210388,48.0140886058163,1.9335376094522757e-05,0.00784313725490196,0.0022599812017115514,-0.05088338420029868,eps,0.007843123413085283
square-attack,niqe,1,1-2,0.9720161231470555,41.65434867103325,7.233950534724468e-05,0.01568627450980392,0.004521298538529599,-0.08206937440390119,eps,0.015686254173282427
square-attack,niqe,2,3-4,0.9274331223435381,35.70358311201673,0.0002854477822473818,0.03137254901960784,0.008945815902682504,-0.10383429758301857,eps,0.03137253412354922
square-attack,niqe,3,5-6,0.8640252528436333,29.862708317665522,0.001093726062817605,0.06274509803921569,0.017292801899065735,-0.11393184011278579,eps,0.06274507928498864
ifgsm,meta-iqa,0,1-2,0.9919041671810044,47.528750068646914,2.005542145082425e-05,0.00784313725490196,0.00357112129718236,0.5167611776494339,alpha,0.0007843126884483477
ifgsm,meta-iqa,1,2-3,0.9786502867666592,43.07190576622643,5.591699190842874e-05,0.01568627450980392,0.005778267454703477,0.6208694603417135,alpha,0.001568626072197761
ifgsm,meta-iqa,2,4-5,0.9375969786298481,38.21351163627723,0.00016389738287721556,0.03137254901960784,0.009731262012482544,0.6745253556497445,alpha,0.00326284464336808
madc,meta-iqa,0,5-6,0.9966555256059509,52.695182382602624,5.607027191899498e-06,0.00784313725490196,0.0016292584130730503,0.40421866100999315,lr,0.0009803891890329075
madc,meta-iqa,1,6-7,0.9845972418840555,46.34449652615339,2.6773350831609372e-05,0.01568627450980392,0.003655408318826858,0.5519057076392143,lr,0.001960781582696025
madc,meta-iqa,2,7-8,0.9378543219279875,40.10214724358812,0.00012078605642498795,0.03137254901960784,0.007866473399252345,0.6383183404807952,lr,0.003921558548824352
madc,meta-iqa,3,8-9,0.8157763466580454,34.01445158867364,0.0005083971386433833,0.06274509803921569,0.016183706466564363,0.6779298386447082,lr,0.007843129035691567
cnn-attack,meta-iqa,0,-2--1,0.962733910530736,45.93509352502248,7.967620756024525e-05,0.00784313725490196,0.0063451576733053235,0.09932900486833436,Amplitude,0.019999906581314
cnn-attack,meta-iqa,1,-2--1,0.902301294666051,38.95888618860178,0.00021616234394161206,0.01568627450980392,0.012670956101023641,0.2847138159478388,Amplitude,0.0399998687939604
cnn-attack,meta-iqa,2,-1-0,0.7585303254232441,31.93627102707729,0.0007766301013957424,0.03137254901960784,0.024924841240238225,0.527871272407485,Amplitude,0.07999985255798696
cnn-attack,meta-iqa,3,0-1,0.5318491393048967,25.915658330453134,0.0029640856444076913,0.06274509803921569,0.04893462914473533,0.6575685557339654,Amplitude,0.15999990068159387
diff-evolve-uap,meta-iqa,1,0-1,0.930844634648259,39.64453629499661,0.0001326395109009692,0.01568627450980392,0.009556060270817504,0.0020446047843650996,Amplitude,0.1568623090673373
diff-evolve-uap,meta-iqa,2,2-3,0.8466422627541442,34.732061301123615,0.00033957154268995796,0.03137254901960784,0.015544650825488086,0.00037797407757784226,Amplitude,0.31372510932059344
diff-evolve-uap,meta-iqa,3,5-6,0.5417644703943452,26.565910348665803,0.0022535304537121157,0.06274509803921569,0.04172045358194959,0.015487181841099817,Amplitude,0.6274506436205435
stadv,meta-iqa,0,3-4,0.9999987018830684,85.68582857244692,3.7936303022550615e-08,0.00784313725490196,1.7027221534835952e-05,0.0025169167388197984,lr,0.6596078839684949
stadv,meta-iqa,1,4-5,0.9999929711048022,79.35086051456838,2.320240067017055e-07,0.01568627450980392,3.686023580509246e-05,0.004953933455881059,lr,0.8251569012990568
stadv,meta-iqa,2,4-5,0.9999759152651096,74.48329803838294,8.207814658113651e-07,0.03137254901960784,7.995049417240739e-05,0.00972355571574619,lr,0.998026240582267
stadv,meta-iqa,3,5-6,0.9999252468722619,65.8361559080562,2.5882641397219252e-06,0.06274509803921569,0.00016877305594571528,0.018835202451735825,lr,1.3158932213132633
korhonen-et-al,meta-iqa,0,3-4,0.9952037726483892,49.66691389023637,1.398325606364255e-05,0.00784313725490196,0.002837784438163654,0.36942819324423537,lr,0.0007837398003473562
korhonen-et-al,meta-iqa,1,4-5,0.9859884529990415,44.72390788103563,4.330918836535282e-05,0.01568627450980392,0.004897591329406115,0.494169283373441,lr,0.0015804360663148314
korhonen-et-al,meta-iqa,2,5-6,0.9593553700391727,39.810585253633725,0.00013346353710245136,0.03137254901960784,0.008462295287092407,0.59461439705186,lr,0.0032196574634429528
korhonen-et-al,meta-iqa,3,6-7,0.8865551443955002,34.71758652949051,0.00043226384185776894,0.06274509803921569,0.015075979088878142,0.6518229209011897,lr,0.0066452142510348864
uap,meta-iqa,0,-1-0,0.9753986093600915,44.41491216392642,4.4512178978298284e-05,0.00784313725490196,0.005828779621177037,0.009201879853512573,Amplitude,0.0784308509798706
uap,meta-iqa,1,0-1,0.9181197642077531,38.35107155945637,0.000171421952710668,0.01568627450980392,0.011528064239752545,0.14384163328233712,Amplitude,0.15686230906733734
uap,meta-iqa,2,2-3,0.773796995378039,32.08509974223955,0.0006456054231901844,0.03137254901960784,0.02285983198664424,0.45451173540245227,Amplitude,0.31372510932059344
uap,meta-iqa,3,5-6,0.5449449235368837,26.127555244611955,0.00246086057789977,0.06274509803921569,0.04466927003721413,0.6281395360027882,Amplitude,0.6274506436205433
ssah,meta-iqa,0,4-5,0.99344410512391,48.47688511685252,1.462286586675705e-05,0.00784313725490196,0.0031352296905232924,0.4443684000418776,lr,0.0007740023037638452
ssah,meta-iqa,1,5-6,0.983795751346625,44.491532989866165,3.885213750915399e-05,0.01568627450980392,0.004824874386391252,0.5409917828024285,lr,0.0015527233170753133
ssah,meta-iqa,2,6-7,0.9595866895993422,40.32591774606321,0.00010002817246074864,0.03137254901960784,0.007463682332219423,0.6043224065995619,lr,0.003121960627743859
ssah,meta-iqa,3,8-9,0.9029188695294349,36.16067457414591,0.0002518901092063079,0.06274509803921569,0.011456997665907484,0.6369572862212733,lr,0.006328407771756423
grad-est,meta-iqa,0,-2-0,0.9810409312349275,46.21824293640936,2.8315274593772724e-05,0.00784313725490196,0.0044504908525565285,0.02726071066926322,eps,0.007843123246226276
grad-est,meta-iqa,1,1-2,0.9382914415125146,40.141443816287165,0.00010179052448922095,0.01568627450980392,0.008685993384717814,0.08921403159742412,eps,0.01568625387958473
grad-est,meta-iqa,2,3-4,0.8314011884826349,34.450792282989234,0.0003736196874364278,0.03137254901960784,0.016531118376040217,0.2395866405404042,eps,0.03137253394199675
grad-est,meta-iqa,3,5-6,0.718244924312194,30.78689930225789,0.0008420538460530516,0.06274509803921569,0.02352819122740688,0.3497271094099593,eps,0.06274507912772695
zhang-et-al-dists,meta-iqa,0,3-4,0.9904853767828107,47.653350462007424,2.1352253077926062e-05,0.00784313725490196,0.0037783785382108828,0.44468850471253807,lr,0.0007746180963459669
zhang-et-al-dists,meta-iqa,1,4-5,0.9730231710007752,42.8802105121192,6.401471018438915e-05,0.01568627450980392,0.006394437810169247,0.5624103679504553,lr,0.001557037618557126
zhang-et-al-dists,meta-iqa,2,5-6,0.9235954384567974,37.99049875027566,0.00019823832522559455,0.03137254901960784,0.011046300827480673,0.6393354224544168,lr,0.0031462157290875334
zhang-et-al-dists,meta-iqa,3,6-7,0.8034497340673841,32.75510889630964,0.0006635197319285545,0.06274509803921569,0.019986872303295045,0.6739919945548006,lr,0.0063714159422899415
square-attack,meta-iqa,0,-2-0,0.99168085783568,47.99266363484215,1.917830491136673e-05,0.00784313725490196,0.0022541196756644824,0.06547214940316998,eps,0.007843123413085283
square-attack,meta-iqa,1,1-2,0.9776036595178292,41.97927947403869,6.692957970490806e-05,0.01568627450980392,0.004198915095092898,0.1014261032548957,eps,0.015686254173282427
square-attack,meta-iqa,2,3-4,0.9521367392584215,36.637712157929855,0.0002315374396434765,0.03137254901960784,0.0073087263318898175,0.13134898285050475,eps,0.03137253412354922
square-attack,meta-iqa,3,5-6,0.9219312055505858,31.579220771616605,0.0007600848048164063,0.06274509803921569,0.012096832064157726,0.15395897224830457,eps,0.06274507928498864
ifgsm,koncept,0,1-2,0.9896818997602516,46.68174512302394,2.4055953681538748e-05,0.00784313725490196,0.003959443769240404,0.5739992651247856,alpha,0.0007843126884483477
ifgsm,koncept,1,2-3,0.9718760056487751,41.96364614469965,7.101104298226758e-05,0.01568627450980392,0.006595031928196707,0.8180566749157667,alpha,0.001568626072197761
ifgsm,koncept,2,4-5,0.9222028151467065,36.992328343485774,0.00021464096248760203,0.03137254901960784,0.011244408907644488,1.3209278883613724,alpha,0.00326284464336808
madc,koncept,0,5-6,0.9984547991789152,56.01734831604389,2.60478709147475e-06,0.00784313725490196,0.000741909150299211,0.4377926502578508,lr,0.0009803892296183104
madc,koncept,1,6-7,0.9928382199907908,49.786579981130544,1.212139928622846e-05,0.01568627450980392,0.0017002109157562943,0.6443700813196627,lr,0.00196078164535565
madc,koncept,2,7-8,0.968174924524867,43.303268295172685,5.957428738353491e-05,0.03137254901960784,0.00406473386454241,1.002946945975638,lr,0.003921558570464065
madc,koncept,3,8-9,0.8918040616366194,36.82639610003935,0.0002771909293083868,0.06274509803921569,0.009360055136954624,1.5801192566479492,lr,0.007843129035691567
cnn-attack,koncept,0,-2--1,0.9651524465258444,46.41031093562537,7.034481077060213e-05,0.00784313725490196,0.005873082831436163,0.0033738382856136244,Amplitude,0.019999906873919733
cnn-attack,koncept,1,-2--1,0.9085890126080196,39.48445485769054,0.00019041768944503165,0.01568627450980392,0.011671622735372372,0.01360775693516229,Amplitude,0.03999987042148617
cnn-attack,koncept,2,-1-0,0.7681656501347319,32.4241586623169,0.0006981656334176555,0.03137254901960784,0.023222698811053797,0.10775400995484591,Amplitude,0.07999985301699598
cnn-attack,koncept,3,0-1,0.5393492372007056,26.411303132349147,0.002635790668160243,0.06274509803921569,0.045382842844876134,0.32176767507424353,Amplitude,0.15999990043296136
diff-evolve-uap,koncept,1,0-1,0.9118130947215746,38.55083703430451,0.00017345986208240112,0.01568627450980392,0.011376147652165994,-0.04359611390756777,Amplitude,0.1568623090673373
diff-evolve-uap,koncept,2,2-3,0.7892873786855019,32.95054186523817,0.0005319959811574275,0.03137254901960784,0.019953230300869523,-0.08298924550158383,Amplitude,0.31372510932059344
diff-evolve-uap,koncept,3,5-7,0.5749845623112158,27.308958388375256,0.002021737641048885,0.06274509803921569,0.038249934080027956,-0.1269360132351444,Amplitude,0.6274506482898234
stadv,koncept,0,3-4,0.9999995888120382,90.75679249090109,1.3282909271000192e-08,0.00784313725490196,7.466022277243173e-06,0.003358561376220895,lr,0.6184815773137614
stadv,koncept,1,4-5,0.9999985057035794,83.46714072363673,5.29621968408667e-08,0.01568627450980392,1.634354637926801e-05,0.0066868033122862505,lr,0.837648995179112
stadv,koncept,2,4-5,0.9999948383881035,76.8842840424949,1.9521102639202832e-07,0.03137254901960784,3.7715002614695685e-05,0.013444803091521126,lr,1.1633257178156065
stadv,koncept,3,5-6,0.9999346589546639,71.18726546801642,2.383260795105303e-06,0.06274509803921569,9.580317857374487e-05,0.028623360446661916,lr,1.5482839862585829
korhonen-et-al,koncept,0,3-4,0.9956835596336697,50.20500457434482,1.2112449648269163e-05,0.00784313725490196,0.0024469450795481,0.4259253124959441,lr,0.0007836799354853368
korhonen-et-al,koncept,1,4-5,0.9877389858950159,45.3456638116967,3.682365081211848e-05,0.01568627450980392,0.004165511595040991,0.5691859040211888,lr,0.0015720068625404804
korhonen-et-al,koncept,2,5-6,0.9662460838150587,40.54975361515869,0.00011142835366510885,0.03137254901960784,0.007060612901951908,0.7653979850905512,lr,0.0031461315726799472
korhonen-et-al,koncept,3,6-7,0.9116979759912904,35.56035686299804,0.0003512202681296244,0.06274509803921569,0.012301174737391136,1.1079825204922806,lr,0.006304714179620988
uap,koncept,0,-1-0,0.9735528835270117,44.172565297297,4.7034073681722186e-05,0.00784313725490196,0.005984180303952011,-0.010020166614981382,Amplitude,0.0784308509798706
uap,koncept,1,0-1,0.9117625953849428,38.08152458867697,0.0001825354419825943,0.01568627450980392,0.011895209989124734,-0.011456324032253983,Amplitude,0.15686230906733734
uap,koncept,2,2-3,0.7624426003962502,31.84150832960428,0.0006816002477521547,0.03137254901960784,0.023490462347223368,0.01798540916468304,Amplitude,0.31372510932059344
uap,koncept,3,5-6,0.5293896844227892,25.900767225927922,0.002589181124398162,0.06274509803921569,0.04578828436947553,0.13811435631981966,Amplitude,0.6274506436205433
ssah,koncept,0,4-5,0.9938590055795057,48.90879000224616,1.3170375415874734e-05,0.00784313725490196,0.0028221989459539134,0.4800934618989612,lr,0.0007738813006605195
ssah,koncept,1,5-6,0.9853822270964008,45.10006751711907,3.337067179140751e-05,0.01568627450980392,0.004195404824783715,0.6044873322690483,lr,0.0015493488790566182
ssah,koncept,2,6-7,0.9655265518894973,41.104542914633974,8.351897523808176e-05,0.03137254901960784,0.006341400023772303,0.7666927036788614,lr,0.0031054927466149253
ssah,koncept,3,8-9,0.9220879122930072,37.02846077140951,0.00020772416111215064,0.06274509803921569,0.009730731687953478,1.0150914811731226,lr,0.006233135663714459
grad-est,koncept,0,-2-0,0.9811056690426113,46.23887272010516,2.8163094149420256e-05,0.00784313725490196,0.004435063897137044,0.04381542240008226,eps,0.007843123246226276
grad-est,koncept,1,1-2,0.9384080618745271,40.171937931111884,0.00010115995182011594,0.01568627450980392,0.008647143365230037,0.15671809731296285,eps,0.01568625387958473
grad-est,koncept,2,3-4,0.8291168094342692,34.40375387851767,0.0003785284376712614,0.03137254901960784,0.01665028024130516,0.37091424540068263,eps,0.03137253394199675
grad-est,koncept,3,5-6,0.7117199032362198,30.59187115365863,0.0008818800359980257,0.06274509803921569,0.02407815331708192,0.5283831409353253,eps,0.06274507912772695
zhang-et-al-dists,koncept,0,3-4,0.9911453734955799,47.974655771136824,1.9551805410741857e-05,0.00784313725490196,0.0035488641517707423,0.47832152795710303,lr,0.0007747120813884182
zhang-et-al-dists,koncept,1,4-5,0.9751694879546705,43.260770582590006,5.8156585223078904e-05,0.01568627450980392,0.005972080040317318,0.6335684373366407,lr,0.0015512634845367456
zhang-et-al-dists,koncept,2,5-6,0.929763524851283,38.3486288477145,0.00018292570676840033,0.03137254901960784,0.010379399051213784,0.8730221159154308,lr,0.0031059367245699562
zhang-et-al-dists,koncept,3,6-7,0.8174943890879762,33.0066707634362,0.0006236578946195728,0.06274509803921569,0.019018482120067758,1.3028301647779474,lr,0.00622493310835371
square-attack,koncept,0,-2-0,0.9916700972828747,47.97289192111354,1.9364159527775043e-05,0.00784313725490196,0.0022721229842025963,0.07414854128656134,eps,0.007843123413085283
square-attack,koncept,1,1-2,0.9762698339782085,41.83616817094132,6.919893161304533e-05,0.01568627450980392,0.004339757261010699,0.1211305823570692,eps,0.015686254173282427
square-attack,koncept,2,3-4,0.9428337440077045,36.25782824706693,0.00025272200044249824,0.03137254901960784,0.007955775949060932,0.18288559804035942,eps,0.03137253412354922
