attack,metric,category,preset,ssim,psnr,mse,l_inf,mae,abs_gain,param_name,param_val
ifgsm,spaq,0,1-2,0.992167082213962,47.5969942864857,1.9716331882120587e-05,0.00784313725490196,0.0035235397169921774,0.7856529715038676,alpha,0.0007843126884483477
ifgsm,spaq,1,2-3,0.9791105726340346,43.13947437638889,5.489520578329208e-05,0.01568627450980392,0.005701623764804134,1.1182198556772929,alpha,0.001568626072197761
ifgsm,spaq,2,4-5,0.9389522774739414,38.26879868181743,0.00016199076049048717,0.03137254901960784,0.0096271346943284,1.5059292540576248,alpha,0.00326284464336808
madc,spaq,0,5-6,0.9969622162015813,53.14148747514527,5.084548922878979e-06,0.00784313725490196,0.0014895592589171604,0.5797697071441811,lr,0.0009803891890329075
madc,spaq,1,6-7,0.9859707737604885,46.74278237761429,2.453491642233095e-05,0.01568627450980392,0.003410467099837876,0.8979668606455243,lr,0.001960781582696025
madc,spaq,2,7-8,0.9412025506833205,40.36191931679543,0.00011523986729298908,0.03137254901960784,0.0075565180902824654,1.242720991485888,lr,0.003921558548824352
madc,spaq,3,8-9,0.8198744807585691,34.11812449558146,0.0005034371913196336,0.06274509803921569,0.015930076265658573,1.5516342908506024,lr,0.007843129035691567
cnn-attack,spaq,0,-2--1,0.9658190904076597,46.21272027492201,7.355151424491694e-05,0.00784313725490196,0.006048352640643061,0.05898452206626004,Amplitude,0.01999990696380972
cnn-attack,spaq,1,-2--1,0.910891648320637,39.29420798269531,0.00019903569394749432,0.01568627450980392,0.01201357015180216,0.18402876035112103,Amplitude,0.03999986994145325
cnn-attack,spaq,2,-1-1,0.7947195715809533,33.370685577581185,0.000988175512516491,0.03137254901960784,0.023699561346992346,0.6324673453299959,Amplitude,0.07999986688892773
cnn-attack,spaq,3,-1-1,0.5581638729644987,26.799413394898345,0.0029252432296774608,0.06274509803921569,0.04690857795775854,1.6615805403624302,Amplitude,0.15999990811293918
diff-evolve-uap,spaq,1,0-1,0.9174183331358278,38.69237895321139,0.00016019593437184134,0.01568627450980392,0.010904717316193567,-0.048673140705457335,Amplitude,0.1568623090673373
diff-evolve-uap,spaq,2,2-3,0.7859822137862837,32.92980592634163,0.0005750082531350462,0.03137254901960784,0.020660473082814945,-0.08575572587042722,Amplitude,0.31372510932059344
diff-evolve-uap,spaq,3,5-6,0.5142744531476621,25.91358787136264,0.0025884522390070227,0.06274509803921569,0.04582895657452499,-0.09984405022243331,Amplitude,0.6274506436205435
stadv,spaq,0,3-4,0.9999991812566416,86.84253261938117,2.3251472683733928e-08,0.00784313725490196,1.305016680234833e-05,0.004658857998262348,lr,0.7059960720839249
stadv,spaq,1,4-5,0.9999972305121927,80.91160416069438,8.39776554422006e-08,0.01568627450980392,2.781720590599647e-05,0.009217448868396084,lr,0.8978502664183989
stadv,spaq,2,4-5,0.999992761136684,73.3121762061865,2.2368348485294226e-07,0.03137254901960784,5.767468254416109e-05,0.018121580031573353,lr,1.1947488857529944
stadv,spaq,3,5-6,0.9999664155761461,67.61424675519348,1.1637919452449328e-06,0.06274509803921569,0.00012191838948191964,0.03235767211089711,lr,1.5144502934453066
korhonen-et-al,spaq,0,3-4,0.9947177188988434,49.27012544478868,1.5066287131120012e-05,0.00784313725490196,0.0029699718350797814,0.5333754366987812,lr,0.0007778525157327717
korhonen-et-al,spaq,1,4-5,0.9843656837965111,44.33578456787936,4.685401127014948e-05,0.01568627450980392,0.005111469487418076,0.7785976756938868,lr,0.0015605405328561637
korhonen-et-al,spaq,2,5-6,0.954795586211471,39.40445432077542,0.00014521403314152442,0.03137254901960784,0.008820761812350749,1.1072689144997003,lr,0.003132021384892888
korhonen-et-al,spaq,3,6-7,0.8793549332412285,34.34032085586947,0.00046002770704608396,0.06274509803921569,0.015519877849425824,1.5146889029514976,lr,0.006294442801901538
uap,spaq,0,-1-0,0.9733764277059683,44.00604139578445,4.886965556102457e-05,0.00784313725490196,0.006206626479222491,-0.034560369953666396,Amplitude,0.0784308509798706
uap,spaq,1,0-1,0.9123025536080804,37.92660352020434,0.0001889898506646464,0.01568627450980392,0.012309599366205057,-0.005740227880248014,Amplitude,0.15686230906733734
uap,spaq,2,2-3,0.7659950370195427,31.675784681207347,0.000708482658742163,0.03137254901960784,0.024365813085457894,0.35857604147277455,Amplitude,0.31372510932059344
uap,spaq,3,5-6,0.5363942154692972,25.727499284410154,0.0026946054749306184,0.06274509803921569,0.04753394320975104,1.4975817881825755,Amplitude,0.6274506436205433
ssah,spaq,0,4-5,0.993167721741026,48.23471150139585,1.5420350192700177e-05,0.00784313725490196,0.0032273085162224154,0.6307163653535257,lr,0.000772985768059117
ssah,spaq,1,5-6,0.9826094622886643,44.14868844790282,4.1945141817885654e-05,0.01568627450980392,0.005028857419257432,0.8760513906160023,lr,0.0015481482314953614
ssah,spaq,2,6-7,0.9563253412061345,39.89061805503753,0.0001104895230862147,0.03137254901960784,0.0078839335656809,1.1616771335805325,lr,0.003105264968609826
ssah,spaq,3,8-9,0.8951536428531576,35.57648388889955,0.0002859853699350209,0.06274509803921569,0.012347884039560064,1.4270109355743854,lr,0.0062379584742566566
grad-est,spaq,0,-2-0,0.9813119445093427,46.25418698917057,2.7997921421623588e-05,0.00784313725490196,0.004421561156037847,0.04353248459395849,eps,0.007843123246226276
